X;CH1;CH2;CH3;CH4;time;Start;Increment
Sequence;Volt;Volt;Volt;Volt;c;-0,12;0,00
0,00;0,02;3,68;0,98;0,21;0;;
1,00;0,02;3,80;0,97;0,20;0,0002;;
2,00;0,02;3,80;0,97;0,20;0,0004;;
3,00;0,02;3,68;0,98;0,21;0,0006;;
4,00;0,02;3,80;0,97;0,20;0,0008;;
5,00;0,02;3,68;0,98;0,21;0,001;;
6,00;0,02;3,76;0,98;0,21;0,0012;;
7,00;0,02;3,68;0,98;0,20;0,0014;;
8,00;0,02;3,72;0,98;0,21;0,0016;;
9,00;0,02;3,68;0,98;0,20;0,0018;;
10,00;0,02;3,72;0,98;0,21;0,002;;
11,00;0,02;3,68;0,99;0,20;0,0022;;
12,00;0,02;3,68;0,98;0,21;0,0024;;
13,00;0,02;3,72;1,00;0,20;0,0026;;
14,00;0,02;3,72;0,99;0,21;0,0028;;
15,00;0,02;3,68;1,00;0,20;0,003;;
16,00;0,02;3,72;1,00;0,20;0,0032;;
17,00;0,02;3,68;0,99;0,21;0,0034;;
18,00;0,02;3,72;1,00;0,21;0,0036;;
19,00;0,02;3,68;1,00;0,20;0,0038;;
20,00;0,02;3,68;1,00;0,20;0,004;;
21,00;0,02;3,72;1,01;0,21;0,0042;;
22,00;0,02;3,68;1,00;0,21;0,0044;;
23,00;0,02;3,72;1,02;0,20;0,0046;;
24,00;0,02;3,72;1,01;0,20;0,0048;;
25,00;0,02;3,68;1,02;0,21;0,005;;
26,00;0,02;3,72;1,02;0,20;0,0052;;
27,00;0,02;3,64;1,02;0,21;0,0054;;
28,00;0,02;3,72;1,02;0,20;0,0056;;
29,00;0,02;3,64;1,03;0,21;0,0058;;
30,00;0,02;3,72;1,02;0,20;0,006;;
31,00;0,02;3,64;1,03;0,21;0,0062;;
32,00;0,02;3,72;1,03;0,20;0,0064;;
33,00;0,02;3,64;1,04;0,21;0,0066;;
34,00;0,02;3,72;1,04;0,21;0,0068;;
35,00;0,02;3,64;1,04;0,20;0,007;;
36,00;0,02;3,72;1,04;0,20;0,0072;;
37,00;0,02;3,68;1,05;0,21;0,0074;;
38,00;0,02;3,72;1,05;0,20;0,0076;;
39,00;0,02;3,64;1,06;0,21;0,0078;;
40,00;0,02;3,72;1,06;0,21;0,008;;
41,00;0,02;3,64;1,06;0,20;0,0082;;
